content,content_clean,score,label,content_length,content_clean_length
It's cool. pretty addicted to it try it! There's do many things her to do!,cool pretti addict tri there mani thing,-1,Negative,15,7
fayjzugz GC hi hd for dust be so hd si,fayjzugz gc hi hd dust hd si,1,Positive,10,7
Nice game,nice game,6,Positive,2,2
Unlimited hero event continue. Bd hole do this. Hero max.,unlimit hero event continu bd hole hero max,0,Neutral,10,8
So nice game,nice game,6,Positive,3,2
Great game to play and love how you have strategies with everything,great game play love strategi everyth,10,Positive,12,6
I love it,love,5,Positive,3,1
Best game ever,best game ever,2,Positive,3,3
Marvelous,marvel,0,Neutral,1,1
I love this game 🤩,love game,7,Positive,5,2
The best game I've ever played my whole life. I love it so much<3,best game ive ever play whole life love much,5,Positive,14,9
I like this game nice game,like game nice game,8,Positive,6,4
Extremely addictive 🙂,extrem addict,-3,Negative,3,2
Civic,civic,0,Neutral,1,1
"Creator is abusing their community, and is corrupt to the very core, justice for eric, matt, and timetoclash.",creator abus commun corrupt core justic eric matt timetoclash,0,Neutral,18,9
coc,coc,0,Neutral,1,1
Iam a new player iam plying coc this is nice action-adventure game.......,iam new player iam pli coc nice actionadventur game,6,Positive,12,9
BETTER VERSION OD ROK BEAMSR GAM EVEGRUTNSIDH,better version od rok beamsr gam evegrutnsidh,2,Positive,7,7
noice,noic,0,Neutral,1,1
"Nice game , playing since I was in class 4",nice game play sinc class,6,Positive,10,5
Best game in the 🌎,best game,2,Positive,5,2
Zamn,zamn,0,Neutral,1,1
It's ok,ok,4,Positive,2,1
Nice game,nice game,6,Positive,2,2
Nice and addictive game,nice addict game,3,Positive,4,3
Geil,geil,0,Neutral,1,1
Rellay best game ever played,rellay best game ever play,2,Positive,5,5
Very good game,good game,7,Positive,3,2
Good game I love this game,good game love game,14,Positive,6,4
Very good game cool upgrade system,good game cool upgrad system,9,Positive,6,5
maganda ang laro nati na kaka enjoy,maganda ang laro nati na kaka enjoy,3,Positive,7,7
masterpiece.,masterpiec,0,Neutral,1,1
Cool,cool,2,Positive,1,1
This game suck it took 500 gems for that good for nothing new builder who work only 1 hr,game suck took gem good noth new builder work hr,7,Positive,19,10
ok,ok,4,Positive,1,1
Good Game,good game,7,Positive,2,2
Good,good,5,Positive,1,1
Its good,good,5,Positive,2,1
Most adicting game THANK YOU for making this best game.. And working in most laging phone,adict game thank make best game work lage phone,8,Positive,16,9
Beter,beter,0,Neutral,1,1
Clash of clan my favourite game but grafix is lox like pubg litr,clash clan favourit game grafix lox like pubg litr,2,Positive,13,9
Awesome 👍👍,awesom,0,Neutral,2,1
Great game,great game,5,Positive,2,2
Good game,good game,7,Positive,2,2
"Walls I think should cost a lot less since there's more troops that jump, fly over, and destroy walls but very nice game",wall think cost lot less sinc there troop jump fli destroy wall nice game,1,Positive,23,14
started on 2018. Then I was in 5th class. Im in 11th now. Again installing after 6 years. It's connected with my childhood. Nostalgia,start th class im th instal year connect childhood nostalgia,0,Neutral,24,10
"I started since 2014, Best game ever!",start sinc best game ever,2,Positive,7,5
Edit review case the correct situation with supercell. Remove the weapons in the game. They are clearly p2w. And bring back the twitch streamers and youtubers that you ban only because they express their opinion about the correct state of the game. No more silence people. Our voices shall be heard.,edit review case correct situat supercel remov weapon game clearli pw bring back twitch streamer youtub ban express opinion correct state game silenc peopl voic shall heard,4,Positive,51,27
Nice one,nice one,4,Positive,2,2
Very good 👍,good,5,Positive,3,1
Akber Shah,akber shah,0,Neutral,2,2
Wow,wow,0,Neutral,1,1
The game is really good we can chat with our friends who are shifted some where else thank u coc i found my old friend and now i can chat with him thank u very much,game realli good chat friend shift els thank u coc found old friend chat thank u much,21,Positive,36,17
Good,good,5,Positive,1,1
Good game,good game,7,Positive,2,2
I love his game forever,love game forev,7,Positive,5,3
This is a good game with good graphics,good game good graphic,12,Positive,8,4
Amazing,amaz,0,Neutral,1,1
Good game,good game,7,Positive,2,2
Good,good,5,Positive,1,1
It's a best game,best game,2,Positive,4,2
good,good,5,Positive,1,1
best,best,0,Neutral,1,1
Not satisfied,satisfi,0,Neutral,2,1
My download compelet why my game auto crash,download compelet game auto crash,-2,Negative,8,5
I like this concept,like concept,0,Neutral,4,2
Better.,better,2,Positive,1,1
Spectacular game,spectacular game,2,Positive,2,2
Best Game,best game,2,Positive,2,2
I like it 😁,like,0,Neutral,4,1
Nice game,nice game,6,Positive,2,2
i like this game super,like game super,5,Positive,5,3
First of all absolutely beautiful game,first absolut beauti game,2,Positive,6,4
Excellent,excel,0,Neutral,1,1
Best game,best game,2,Positive,2,2
